"RUTA","MESES","ENTRADAS","ID"
"Quito - Macas","DICIEMBRE",133,716
"Macas - Quito","DICIEMBRE",103,717
"Quito-Macas-Quito","DICIEMBRE",236,718
"Macas - Tena","DICIEMBRE",11,719
"Macas - Tena","DICIEMBRE",11,720
"Quito - Manta","DICIEMBRE",10302,721
"Manta - Quito","DICIEMBRE",8452,722
"Quito - Manta - Quito","DICIEMBRE",18754,723
"Guayaquil - Latacunga","DICIEMBRE",631,724
"Latacunga - Guayaquil","DICIEMBRE",540,725
"Guayaquil - Latacunga - Guayaquil","DICIEMBRE",1171,726
"Latacunga - Coca","DICIEMBRE",477,727
"Coca Latacunga","DICIEMBRE",405,728
"Latacunga - Coca - Latacunga","DICIEMBRE",882,729
"Quito - Tena","DICIEMBRE",29,730
"Tena - Quito","DICIEMBRE",30,731
"Quito - Tena - Quito","DICIEMBRE",59,732
"Quito - Salinas","DICIEMBRE",620,733
"Salinas - Quito","DICIEMBRE",452,734
"Quito - Salinas - Quito","DICIEMBRE",1072,735
"Quito - Esmeraldas","DICIEMBRE",358,736
"Esmeraldas - Quito","DICIEMBRE",3299,737
"Quito - Esmeraldas - Quito","DICIEMBRE",6879,738
"Guayaquil - Esmeraldas","DICIEMBRE",1278,739
"Esmeraldas - Guayaquil","DICIEMBRE",109,740
"Guayaquil - Esmeraldas - Guayaquil","DICIEMBRE",2368,741
"Quito - Santa Rosa","DICIEMBRE",3869,742
"Santa Rosa - Quito","DICIEMBRE",3331,743
"Quito - Santa Rosa - Quito","DICIEMBRE",72,744
