"PROVINCIAS","ANIO","RECAUDACION","NEGOCIO","ID"
"Azuay",2011,1425602,"RESTAURANTES",121
"Bolivar",2011,30812,"RESTAURANTES",122
"Carchi",2011,94301,"RESTAURANTES",123
"Cañar",2011,81005,"RESTAURANTES",124
"Chimborazo",2011,292242,"RESTAURANTES",125
"Cotopaxi",2011,252094,"RESTAURANTES",126
"El Oro",2011,572492,"RESTAURANTES",127
"Esmeraldas",2011,360018,"RESTAURANTES",128
"Galápagos",2011,442349,"RESTAURANTES",129
"Guayas",2011,10231872,"RESTAURANTES",130
"Imbabura",2011,663032,"RESTAURANTES",131
"Loja",2011,372211,"RESTAURANTES",132
"Los Ríos",2011,114377,"RESTAURANTES",133
"Manabí",2011,1022581,"RESTAURANTES",134
"Morona Santiago",2011,39363,"RESTAURANTES",135
"Napo",2011,85362,"RESTAURANTES",136
"Orellana",2011,125194,"RESTAURANTES",137
"Pastaza",2011,67707,"RESTAURANTES",138
"Pichincha",2011,10942265,"RESTAURANTES",139
"Santa Elena",2011,708245,"RESTAURANTES",140
"Sto Domingo de los Tsáchilas",2011,208626,"RESTAURANTES",141
"Sucumbíos",2011,396693,"RESTAURANTES",142
"Tungurahua",2011,82953,"RESTAURANTES",143
"Zamora Chinchipe",2011,65438,"RESTAURANTES",144
"Azuay",2012,1613635,"RESTAURANTES",145
"Bolivar",2012,36551,"RESTAURANTES",146
"Carchi",2012,14488,"RESTAURANTES",147
"Cañar",2012,49621,"RESTAURANTES",148
"Chimborazo",2012,354441,"RESTAURANTES",149
"Cotopaxi",2012,27176,"RESTAURANTES",150
"El Oro",2012,845873,"RESTAURANTES",151
"Esmeraldas",2012,423225,"RESTAURANTES",152
"Galápagos",2012,536686,"RESTAURANTES",153
"Guayas",2012,12179955,"RESTAURANTES",154
"Imbabura",2012,745114,"RESTAURANTES",155
"Loja",2012,43637,"RESTAURANTES",156
"Los Ríos",2012,171474,"RESTAURANTES",157
"Manabí",2012,1176711,"RESTAURANTES",158
"Morona Santiago",2012,42995,"RESTAURANTES",159
"Napo",2012,120624,"RESTAURANTES",160
"Orellana",2012,194332,"RESTAURANTES",161
"Pastaza",2012,75986,"RESTAURANTES",162
"Pichincha",2012,10879928,"RESTAURANTES",163
"Santa Elena",2012,779236,"RESTAURANTES",164
"Sto Domingo de los Tsáchilas",2012,222615,"RESTAURANTES",165
"Sucumbíos",2012,259229,"RESTAURANTES",166
"Tungurahua",2012,919412,"RESTAURANTES",167
"Zamora Chinchipe",2012,7668,"RESTAURANTES",168
"Azuay",2013,2025470,"RESTAURANTES",169
"Bolivar",2013,53122,"RESTAURANTES",170
"Carchi",2013,160127,"RESTAURANTES",171
"Cañar",2013,52249,"RESTAURANTES",172
"Chimborazo",2013,382221,"RESTAURANTES",173
"Cotopaxi",2013,307791,"RESTAURANTES",174
"El Oro",2013,876895,"RESTAURANTES",175
"Esmeraldas",2013,509719,"RESTAURANTES",176
"Galápagos",2013,666544,"RESTAURANTES",177
"Guayas",2013,12327518,"RESTAURANTES",178
"Imbabura",2013,892606,"RESTAURANTES",179
"Loja",2013,433705,"RESTAURANTES",180
"Los Ríos",2013,24974,"RESTAURANTES",181
"Manabí",2013,1312101,"RESTAURANTES",182
"Morona Santiago",2013,87288,"RESTAURANTES",183
"Napo",2013,124515,"RESTAURANTES",184
"Orellana",2013,267036,"RESTAURANTES",185
"Pastaza",2013,84575,"RESTAURANTES",186
